,Theme,Genre,Title
691,every,drama mystery romance sci fi,tunnel summer exit goodbyes
2178,super power super powersuper,action adventure sci fi,black cat
416,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school visual arts visual artsvisual,slice life slice lifeslice,hidamari sketch sae hiro graduation
3572,harem school,comedy fantasy romance ecchi,negima magister negi magi
217,historical martial arts martial artsmartial,action adventure romance,katanagatari
888,school,drama romance,clannad story another world kyou chapter
1842,iyashikei school,slice life slice lifeslice,tanaka kun always listless
3362,mecha space,action adventure sci fi supernatural,shingu secret stellar wars
3671,harem school,comedy romance,oreshura
3357,mahou shoujo mahou shoujomahou,adventure comedy fantasy romance,cardcaptor sakura clear card recap
809,otaku culture otaku cultureotaku school,comedy romance,monthly girls ' nozaki kun
2272,school,comedy girls love girls lovegirls,maria watches us
727,adult cast adult castadult,action adventure drama,lupin third goemon 's blood spray
1034,every,drama fantasy romance,snow white red hair ova
3283,school time time travel time traveltime,comedy mystery sci fi supernatural,occult academy
3595,parody,action adventure comedy sci fi,dokkoida
449,school,action comedy,assassination classroom
1309,gore super power super powersuper,action supernatural suspense,ga rei zero
376,long,drama fantasy mystery romance,princess tutu
2210,every,comedy romance,kimi ni todoke season mini theater
3593,every,adventure fantasy romance,banished hero 's party decided live quiet life countryside
2663,every,action adventure fantasy,one piece open upon great sea father 's huge huge dream
433,every,action mystery supernatural,durarara
842,historical martial arts martial artsmartial,action fantasy,fog hill five elements
371,idols male idols male idols music,drama,idolish second beat
3423,school,action supernatural,witch craft works
3088,workplace,comedy supernatural,miss shachiku little baby ghost
1697,every,action boys love boys loveboys comedy supernatural,spiritpact bond underworld
700,every,drama mystery romance,ef tale memories
3739,mecha,action drama sci fi,blassreiter
644,historical,drama,les miserables shoujo cosette
3316,every,drama fantasy horror mystery,mermaid forest
3145,historical mythology time time travel time traveltime,action adventure fantasy,yashahime princess half demon second act
2018,idols female idols female idols music,sci fi,akb
1373,mahou shoujo mahou shoujomahou,action fantasy,tropical rouge pretty cure
